--------- beginning of main
04-07 13:21:08.928  4970  5022 I HWUI    : Davey! duration=1753ms; Flags=0, FrameTimelineVsyncId=17239, IntendedVsync=271151539941, Vsync=271984873241, InputEventId=0, HandleInputStart=271985761129, AnimationStart=271985762379, PerformTraversalsStart=272098580046, DrawStart=272098784546, FrameDeadline=272634873215, FrameStartTime=271985559171, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=272098810088, SyncStart=272348418921, IssueDrawCommandsStart=272348558963, SwapBuffers=272608744921, FrameCompleted=273154809255, DequeueBufferDuration=489810958, QueueBufferDuration=54574834, GpuCompleted=273154042880, SwapBuffersCompleted=273154809255, DisplayPresentTime=0, CommandSubmissionCompleted=272608744921, 
04-07 13:21:09.617  4970  5022 I HWUI    : Davey! duration=927ms; Flags=0, FrameTimelineVsyncId=17255, IntendedVsync=272068206571, Vsync=272334873227, InputEventId=0, HandleInputStart=272350447379, AnimationStart=272350448754, PerformTraversalsStart=272360644671, DrawStart=272360891004, FrameDeadline=273184873193, FrameStartTime=272349544963, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=272360917254, SyncStart=273154936630, IssueDrawCommandsStart=273159527838, SwapBuffers=273486309047, FrameCompleted=273789741338, DequeueBufferDuration=3417, QueueBufferDuration=160875, GpuCompleted=273789741338, SwapBuffersCompleted=273487560672, DisplayPresentTime=0, CommandSubmissionCompleted=273486309047, 
04-07 13:21:09.934  4970  4970 I Choreographer: Skipped 59 frames!  The application may be doing too much work on its main thread.
04-07 13:21:10.423  4970  4982 I HWUI    : Davey! duration=1927ms; Flags=0, FrameTimelineVsyncId=17270, IntendedVsync=272351539893, Vsync=273151539861, InputEventId=0, HandleInputStart=273160736880, AnimationStart=273160738130, PerformTraversalsStart=273166004296, DrawStart=273166268796, FrameDeadline=273818206501, FrameStartTime=273160434088, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=273166349796, SyncStart=273487720338, IssueDrawCommandsStart=273487864922, SwapBuffers=274086913880, FrameCompleted=274600741380, DequeueBufferDuration=4041, QueueBufferDuration=552750, GpuCompleted=274600741380, SwapBuffersCompleted=274333416255, DisplayPresentTime=0, CommandSubmissionCompleted=274086913880, 
04-07 13:21:10.511  4970  4970 I Choreographer: Skipped 34 frames!  The application may be doing too much work on its main thread.
04-07 13:21:11.059  4970  4970 I Choreographer: Skipped 31 frames!  The application may be doing too much work on its main thread.
04-07 13:21:11.164  4970  4982 I HWUI    : Davey! duration=1331ms; Flags=0, FrameTimelineVsyncId=17286, IntendedVsync=273168206527, Vsync=273484873181, InputEventId=0, HandleInputStart=273490693297, AnimationStart=273490694672, PerformTraversalsStart=273504423588, DrawStart=273506852588, FrameDeadline=274618206469, FrameStartTime=273490211755, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=273506888047, SyncStart=274333494339, IssueDrawCommandsStart=274366529672, SwapBuffers=274982158672, FrameCompleted=275326717964, DequeueBufferDuration=4417, QueueBufferDuration=852375, GpuCompleted=275326717964, SwapBuffersCompleted=274985866589, DisplayPresentTime=0, CommandSubmissionCompleted=274982158672, 
04-07 13:21:11.970  4970  4982 I HWUI    : Davey! duration=2067ms; Flags=0, FrameTimelineVsyncId=17301, IntendedVsync=273501539847, Vsync=274484873141, InputEventId=0, HandleInputStart=274492933964, AnimationStart=274492935547, PerformTraversalsStart=274534424089, DrawStart=274534765172, FrameDeadline=275351539773, FrameStartTime=274492490547, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=274534793464, SyncStart=275059689214, IssueDrawCommandsStart=275059796006, SwapBuffers=275327639131, FrameCompleted=276094225423, DequeueBufferDuration=37424208, QueueBufferDuration=287209, GpuCompleted=276094225423, SwapBuffersCompleted=275616683423, DisplayPresentTime=0, CommandSubmissionCompleted=275327639131, 
04-07 13:21:11.975  4970  4970 I Choreographer: Skipped 47 frames!  The application may be doing too much work on its main thread.
04-07 13:21:12.641  4970  4982 I HWUI    : Davey! duration=1911ms; Flags=0, FrameTimelineVsyncId=17316, IntendedVsync=274501539807, Vsync=275068206451, InputEventId=0, HandleInputStart=275069997714, AnimationStart=275069999047, PerformTraversalsStart=275094495131, DrawStart=275094739589, FrameDeadline=276118206409, FrameStartTime=275069677172, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=275094778006, SyncStart=275616800298, IssueDrawCommandsStart=275616939256, SwapBuffers=276529314215, FrameCompleted=276934670298, DequeueBufferDuration=5292, QueueBufferDuration=384166, GpuCompleted=276934670298, SwapBuffersCompleted=276530665506, DisplayPresentTime=0, CommandSubmissionCompleted=276529314215, 
